query_id,seed,service_id,destination_id,page_role,region_id,reason
YS000431,эскизный проект участка,S1,S1-CHILD-SKETCH,child_service,10841,reviewed_suggest_root[S1-CHILD-SKETCH]
YS000432,заказать эскизный проект участка,S1,S1-CHILD-SKETCH,child_service,10841,reviewed_suggest_transactional[S1-CHILD-SKETCH]
YS000433,генеральный план участка,S1,S1-CHILD-MASTERPLAN,child_service,10841,reviewed_suggest_root[S1-CHILD-MASTERPLAN]
YS000434,заказать генеральный план участка,S1,S1-CHILD-MASTERPLAN,child_service,10841,reviewed_suggest_transactional[S1-CHILD-MASTERPLAN]
YS000435,дендроплан участка,S1,S1-CHILD-DENDROPLAN,child_service,10841,reviewed_suggest_root[S1-CHILD-DENDROPLAN]
YS000436,заказать дендроплан участка,S1,S1-CHILD-DENDROPLAN,child_service,10841,reviewed_suggest_transactional[S1-CHILD-DENDROPLAN]
YS000437,3d-визуализация ландшафтного дизайна,S1,S1-CHILD-3D,child_service,10841,reviewed_suggest_root[S1-CHILD-3D]
YS000438,заказать 3d визуализацию ландшафтного дизайна,S1,S1-CHILD-3D,child_service,10841,reviewed_suggest_transactional[S1-CHILD-3D]
YS000439,проект вертикальной планировки участка,S1,S1-CHILD-RELIEF,child_service,10841,reviewed_suggest_root[S1-CHILD-RELIEF]
YS000440,заказать проект вертикальной планировки участка,S1,S1-CHILD-RELIEF,child_service,10841,reviewed_suggest_transactional[S1-CHILD-RELIEF]
YS000441,рулонный газон под ключ,S2,S2-CHILD-ROLL,child_service,10841,reviewed_suggest_root[S2-CHILD-ROLL]
YS000442,укладка рулонного газона под ключ,S2,S2-CHILD-ROLL,child_service,10841,reviewed_suggest_transactional[S2-CHILD-ROLL]
YS000443,посевной газон под ключ,S2,S2-CHILD-SEED,child_service,10841,reviewed_suggest_root[S2-CHILD-SEED]
YS000444,устройство посевного газона под ключ,S2,S2-CHILD-SEED,child_service,10841,reviewed_suggest_transactional[S2-CHILD-SEED]
YS000445,подготовка грунта под газон,S2,S2-CHILD-SOIL,child_service,10841,reviewed_suggest_root[S2-CHILD-SOIL]
YS000446,подготовка грунта под газон цена,S2,S2-CHILD-SOIL,child_service,10841,reviewed_suggest_transactional[S2-CHILD-SOIL]
YS000447,восстановление и ремонт газона,S2,S2-CHILD-RESTORE,child_service,10841,reviewed_suggest_root[S2-CHILD-RESTORE]
YS000448,восстановление газона услуги цена ярославль,S2,S2-CHILD-RESTORE,child_service,10841,reviewed_suggest_transactional[S2-CHILD-RESTORE]
YS000449,посадка плодовых деревьев,S3,S3-CHILD-FRUIT,child_service,10841,reviewed_suggest_root[S3-CHILD-FRUIT]
YS000450,услуги посадки плодовых деревьев,S3,S3-CHILD-FRUIT,child_service,10841,reviewed_suggest_transactional[S3-CHILD-FRUIT]
